fdc_id,Calcium,Carbohydrate,Copper,Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Fiber,Folate,Folic acid,Iron,Magnesium,Niacin,Phosphorus,Protein,Retinol,Riboflavin,Selenium,Sugar,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Vitamin E,Zinc,FoV
2345108,265,4.61,0.055,69,1.047,1.515,0.906,4.3,48,0,1.67,34,1.167,58,3.05,12,0.343,0.9,0.84,0.106,251,0,0.163,68.1,1.05,0.41,Vegetable
2345109,146,5.14,0.065,66,0.962,1.335,0.823,2.2,63,0,0.82,24,0.443,41,2.85,11,0.136,1,1.09,0.061,153,0,0.077,17.2,1.9,0.26,Vegetable
2345110,250,4.85,0.191,54,1,1.054,0.721,2,14,0,0.68,22,0.871,44,3.11,11,0.252,0.9,0.6,0.097,390,0,0.185,35.8,2.13,0.29,Vegetable
2345111,115,4.67,0.165,27,0.092,0.038,0.01,3.2,12,0,1.64,32,0.8,58,2.86,0,0.11,0.9,1.32,0.08,151,0,0.18,70,2.01,0.25,Vegetable
2345112,123,5.01,0.177,29,0.099,0.041,0.011,3.4,10,0,1.76,34,0.815,62,3.07,0,0.112,1,1.42,0.077,154,0,0.183,52.5,2.15,0.27,Vegetable
2345113,101,3.1,0.058,19,0.113,0.047,0.013,2.8,70,0,1.12,13,0.257,24,2.26,0,0.053,0.6,0.32,0.04,353,0,0.108,13.8,1.35,0.2,Vegetable
2345114,117,2.79,0.082,19,0.02,0.119,0.069,1.3,87,0,1.5,20,0.357,21,1.35,0,0.06,0.7,0.42,0.01,296,0,0.04,14.6,1.46,0.23,Vegetable
2345115,120,4.87,0.172,53,1.035,0.854,0.731,3.3,9,0,1.71,33,0.791,61,2.99,12,0.109,0.9,1.38,0.075,162,0,0.196,51,2.46,0.26,Vegetable
2345116,120,4.87,0.172,53,1.035,0.854,0.731,3.3,9,0,1.71,33,0.791,61,2.99,12,0.109,0.9,1.38,0.075,162,0,0.196,51,2.46,0.26,Vegetable
2345117,98,3.02,0.056,41,0.983,0.803,0.683,2.7,68,0,1.09,13,0.25,24,2.21,11,0.051,0.6,0.32,0.039,354,0,0.121,13.4,1.65,0.19,Vegetable
2345118,52,3.01,0.122,42,0.886,0.927,0.759,1.5,9,0,1.16,14,1.065,32,2.24,11,0.242,0.9,1.55,0.068,432,0,0.124,79.4,1.16,0.18,Vegetable
2345135,102,7.13,0.051,128,2.153,0.612,4.126,1.1,46,4,1.01,29,0.45,99,5.72,103,0.232,9.7,2.48,0.087,252,0.37,0.084,0.6,1.11,0.57,Vegetable
2345136,244,9.91,0.131,129,1.746,0.773,3.774,2.8,71,7,1.75,63,0.817,131,7.02,51,0.216,8.5,1.06,0.129,428,0.18,0.109,1.1,2.4,0.89,Vegetable
2345137,59,3.94,0.053,100,2.384,2.118,1.518,1,32,0,0.6,38,0.301,77,5.24,15,0.129,3.5,1.89,0.042,123,0.08,0.108,9.2,1.64,0.34,Vegetable
2345138,66,8.79,0.137,89,1.484,1.697,0.563,3,92,0,1.58,81,0.514,69,4.1,0,0.154,0.9,1.81,0.079,221,0,0.201,16,2.23,0.66,Vegetable
2345139,112,6.98,0.281,68,1.002,1.134,0.878,3.9,98,0,2.35,47,1.496,63,5.19,12,0.451,0.9,3.14,0.196,251,0,0.162,37.9,2.47,0.43,Vegetable
2345140,137,4.35,0.252,20,0.015,0.091,0.053,3.5,118,0,0.8,22,0.41,29,1.14,0,0.072,0.9,0.53,0.045,380,0,0.179,27.3,1.87,0.14,Vegetable
2345141,152,4.96,0.15,29,0.028,0.169,0.099,3.4,39,0,1.93,26,0.467,34,3.34,0,0.074,1.2,0.75,0.054,536,0,0.067,21.7,2.65,0.41,Vegetable
2345142,117,2.79,0.082,19,0.02,0.119,0.069,1.3,87,0,1.5,20,0.357,21,1.35,0,0.06,0.7,0.42,0.01,296,0,0.04,14.6,1.46,0.23,Vegetable
2345143,133,4.23,0.245,42,0.888,0.845,0.722,3.4,114,0,0.78,21,0.398,28,1.11,11,0.07,0.9,0.52,0.044,380,0,0.191,26.5,2.16,0.14,Vegetable
2345144,133,4.23,0.245,42,0.888,0.845,0.722,3.4,114,0,0.78,21,0.398,28,1.11,11,0.07,0.9,0.52,0.044,380,0,0.191,26.5,2.16,0.14,Vegetable
2345145,148,4.83,0.145,51,0.9,0.922,0.766,3.3,38,0,1.88,25,0.453,33,3.25,11,0.072,1.2,0.73,0.052,532,0,0.081,21.1,2.92,0.4,Vegetable
2345146,114,2.71,0.08,41,0.888,0.869,0.735,1.3,84,0,1.46,19,0.347,20,1.32,11,0.058,0.7,0.41,0.01,298,0,0.055,14.2,1.76,0.22,Vegetable
2345147,120,1.29,0.077,11,0.008,0.035,0.027,0.5,9,0,0.2,21,0.2,60,2.3,0,0.12,0.9,0.2,0.09,160,0,0.129,43,1,0.11,Vegetable
2345148,125,1.35,0.08,36,0.947,0.85,0.749,0.5,7,0,0.21,22,0.198,63,2.4,12,0.119,0.9,0.21,0.084,170,0,0.145,31.3,1.41,0.12,Vegetable
2345149,41,6.47,0.195,56,0.878,0.837,0.701,1.8,85,0,0.99,91,0.963,75,3.49,11,0.273,0.9,1.01,0.142,128,0,0.752,53.8,1.74,0.29,Vegetable
2345150,32,7.15,0.032,57,0.885,0.887,0.733,1.8,47,0,0.61,46,0.971,39,2.12,11,0.259,0.9,5.31,0.109,154,0,0.171,1.5,1.27,0.25,Vegetable
2345162,41,15.82,0.076,112,0.867,0.385,1.85,1.9,53,20,1.07,20,1.234,71,3.59,30,0.125,9.5,1.34,0.157,34,0.05,0.113,42.1,0.18,0.51,Vegetable
2345163,79,15.09,0.053,106,0.766,0.561,1.611,1.9,49,19,0.92,14,1.007,77,4.13,24,0.087,5.2,1.23,0.12,50,0.05,0.101,19.8,0.76,0.52,Vegetable
2345164,43,22.41,0.07,223,4.976,5.039,1.816,1.7,63,33,1.78,17,1.987,66,4.28,5,0.167,5.9,0.88,0.274,8,0.04,0.089,30.6,2.03,0.42,Vegetable
2345195,12,5.91,0.088,25,0.012,0.022,0.01,1.1,26,0,0.57,14,0.136,14,0.72,0,0.034,0.4,4.84,0.009,1,0,0.05,2.5,0.03,0.21,Vegetable
2345196,24,9.28,0.046,40,0.007,0.071,0.027,0.8,4,0,0.46,14,0.386,42,0.95,0,0.055,0.6,3.91,0.092,956,0,0.217,8.5,1.16,0.18,Vegetable
